date_raw,date_formatted,complaints,education,notices,education_notices,charges,individual_cost,cost_total,legislation,violation,violation_recoded,city,province,ranking
"December 28, 2020-January 3, 2021","Dec 28, 2020-Jan 3, 2021",,,,279,49,1296,,,various offences,,manitoba,manitoba,33
"December 21-27, 2020","Dec 21-27, 2020",,,,193,51,1296,,,various offences,,manitoba,manitoba,32
"December 14-20, 2020","Dec 14-20, 2020",,,,283,48,1296,,,various offences,,manitoba,manitoba,31
"December 7-13, 2020","Dec 7-13, 2020",,,,294,36,1296,,,various offences,,manitoba,manitoba,30
"November 30-December 6, 2020","Nov 30-Dec 6, 2020",,,,285,53,1296,,,various offences,,manitoba,manitoba,29
"November 23-29, 2020","Nov 23-29, 2020",,,,202,48,1296,,,various offences,,manitoba,manitoba,28
"November 16-22, 2020","Nov 16-22, 2020",,,,79,95,,,,unspecified,,manitoba,manitoba,27
"November 9-15, 2020","Nov 9-15, 2020",,,,54,32,,,,unspecified,,manitoba,manitoba,26
"November 2-8, 2020","Nov 2-8, 2020",,,,28,11,,,,unspecified,,manitoba,manitoba,25
"October 26-November 1, 2020","Oct 26-Nov 1, 2020",,,,11,3,,,,unspecified,,manitoba,manitoba,24
"October 19-25, 2020","Oct 19-25, 2020",,,,5,3,,,,unspecified,,manitoba,manitoba,23
"October 13-18, 2020","Oct 13-18, 2020",,,,7,2,,,,unspecified,,manitoba,manitoba,22
"October 5-12, 2020","Oct 5-12, 2020",,,,2,4,,,,unspecified,,manitoba,manitoba,21
"September 28-October 4, 2020","Sept 28-Oct 4, 2020",,,,0,3,,,,unspecified,,manitoba,manitoba,20
"September 21-28, 2020","Sept 21-28, 2020",,,,3,2,,,,unspecified,,manitoba,manitoba,19
"September 14-20, 2020","Sept 14-20, 2020",,,,5,3,,,,unspecified,,manitoba,manitoba,18
"September 8-13, 2020","Sept 8-13, 2020",,,,7,2,,,,unspecified,,manitoba,manitoba,17
"August 31-September 7, 2020","Aug 31-Sept 7, 2020",,,,1,4,,,,unspecified,,manitoba,manitoba,16
"August 24-30, 2020","Aug 24-30, 2020",,,,6,3,,,,unspecified,,manitoba,manitoba,15
"August 17-23, 2020","Aug 17-23, 2020",,,,1,1,,,,unspecified,,manitoba,manitoba,14
